"","ntrips_id","island","site","landing_site","ext_worker","date","worked_y.n","reason_not_fishing","other_reason","surface_gillnet","circular_net","purse_seine","surface_gillnet_seine","demersal_gillnet","spear_fishing","hook_line","hook_line_shore"
"178","uuid:bbef41b2-d75c-40a8-be36-1d6876675cc2","PC","AB","abade","judiciley","2021-06-08","sim",NA,NA,0,0,1,0,0,3,2,0
"179","uuid:944e9826-2840-4f1d-b577-c0017d2d408f","PC","AB","abade","judiciley","2021-06-11","sim",NA,NA,0,0,2,0,0,0,1,0
"180","uuid:fa8dcaae-b7fb-43a3-bde3-6b40627a20e5","PC","AB","abade","judiciley","2021-06-15","sim",NA,NA,0,0,0,0,0,0,1,0
"181","uuid:d119bac7-c42f-48c4-8b5d-bfb571d5b2de","PC","AB","abade","judiciley","2021-06-18","nao-pesca","mal-tempo",NA,0,0,0,0,0,0,0,0
"182","uuid:ff3b2b08-f378-4ee0-9256-470d9e6ce505","PC","AB","abade","judiciley","2021-06-22","sim",NA,NA,0,0,1,0,0,0,2,0
"183","uuid:4a12f6a0-7fad-4128-b5ce-b37e8518949b","PC","AB","abade","judiciley","2021-06-25","sim",NA,NA,0,0,1,0,0,0,5,0
"184","uuid:ff4c10ee-70ea-4249-ae13-abdad4b8b6ae","PC","AB","abade","judiciley","2021-06-29","nao-pesca","nao-combustvel, mal-tempo",NA,0,0,0,0,0,0,0,0
"185","uuid:fc11da4f-32f1-48b3-8cd1-0fec443dc48e","PC","AB","abade","regina","2021-07-02","sim",NA,NA,0,0,1,0,0,3,3,0
"186","uuid:a6de3064-778a-4273-a0c8-50cfd280ff2b","PC","AB","abade","judiciley","2021-07-06","sim",NA,NA,0,0,1,0,0,0,4,0
"187","uuid:0325f110-4189-4489-8684-b41ed177c4d8","PC","AB","abade","judiciley","2021-07-09","sim",NA,NA,0,0,1,0,0,0,1,0
"188","uuid:567e5502-d3cb-4463-a978-c0b4c6e9cde7","PC","AB","abade","judiciley","2021-07-13","sim",NA,NA,0,0,0,0,0,0,4,0
"189","uuid:63c88bd5-a82b-48ad-9ed0-04c29e8af9a9","PC","AB","abade","regina","2021-07-16","sim",NA,NA,0,0,0,0,0,0,0,2
"190","uuid:22eb1a31-2036-4b77-bac0-c1f63b6c7083","PC","AB","abade","judiciley","2021-07-20","sim",NA,NA,0,0,1,0,0,0,4,1
"191","uuid:bf456c29-d167-43f4-b275-86f623bec5da","PC","AB","abade","judiciley","2021-07-23","sim",NA,NA,0,0,1,0,0,3,5,0
"192","uuid:487cf3a7-dfa0-4a48-8d9c-4ba84dd8bd4d","PC","AB","abade","judiciley","2021-07-27","sim",NA,NA,0,0,1,0,0,0,4,0
