CODE.ST,CODE.PC,type,species,species_comp,species_comp_source,local_name_ST,local_name_PC
SHARK12,SHARK12,Selachimorpha,Isurus oxyrinchus,Isurus oxyrinchus,Picture ID,NA,NA
SHARK13,SHARK13,Selachimorpha,Negaprion brevirostris,Negaprion brevirostris,Picture ID,NA,NA
SHARK14,SHARK14,Selachimorpha,Odontaspis ferox,Odontaspis ferox,Picture ID,NA,NA
SHARK15,SHARK15,Selachimorpha,Prionace glauca,Prionace glauca,Picture ID,NA,NA
SHARK16,SHARK16,Selachimorpha,Rhizoprionodon acutus,Rhizoprionodon acutus,Picture ID,NA,NA
SHARK17,SHARK17,Selachimorpha,Selachimorpha,"Carcharhinus falciformis, Carcharhinus limbatus",Picture ID,NA,NA
SHARK18,SHARK18,Selachimorpha,Sphyrna lewini,Sphyrna lewini,Picture ID,NA,NA
SEMNOMELOCAL,SEMNOMELOCAL,Teleost,Centrolophus niger,Centrolophus niger,Picture ID,Sem nome local,Sem nome local
LINGUADO2,LINGUADO2,Teleost,Bothus lunatus,Bothus lunatus,Picture ID,Linguado,Linguado
LINGUADO3,LINGUADO3,Teleost,Bothus sp.,"Bothus lunatus, Bothus podas",Picture ID,Linguado,Linguado
LINGUADO4,LINGUADO4,Teleost,Syacium guineense,Syacium guineense,Picture ID,Linguado,Linguado
SEMNOMELOCAL2,SEMNOMELOCAL2,Teleost,Megalops atlanticus,Megalops atlanticus,Picture ID,NA,NA
TCHINTCHIN3,TCHINTCHIN3,Teleost,Holocanthus africanus,Holocanthus africanus,Picture ID,NA,NA
DASYATIDAE,DASYATIDAE,Myliobatiformes,Dasyatidae,"Hypanus rudis, Taeniurops grabatus",Picture ID,NA,NA
